p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,RUNTIME,elapsed_sec
double,64,-reorder,-a2av,-p2p_pl,-pencils, ,-ingrid 4 1 1,-outgrid 2 2 1,4,-46.6725,291.1387252807617
double,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,-ingrid 2 1 2,-outgrid 2 2 1,2,-53.6692,292.26153922080994
double,64,-reorder, ,-p2p,-pencils,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 2 1,4,-62.8978,293.381370306015
double,64,-reorder, ,-p2p_pl,-pencils, ,-ingrid 1 2 2,-outgrid 2 2 1,4,-60.3864,294.53602719306946
double,64,-reorder, ,-p2p, ,-r2c_dir 1,-ingrid 1 2 2,-outgrid 2 2 1,8,-49.4508,295.67839431762695
float,64,-reorder, ,-p2p_pl,-pencils, ,-ingrid 1 2 2,-outgrid 2 2 1,4,-69.2688,296.8447742462158
float,64,-reorder, ,-p2p,-pencils,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 2 1,4,-69.2485,298.0028371810913
double,64,-reorder, , ,-pencils,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 2 1,2,-60.263,299.1810681819916
float,64,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 2 1,4,-57.5578,300.3452112674713
double,64, , ,-p2p,-pencils,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 2 1,2,-62.5476,301.54742217063904
float,64, , ,-p2p,-pencils, ,-ingrid 1 2 2,-outgrid 2 2 1,4,-70.1754,302.729807138443
float,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,-ingrid 1 2 2,-outgrid 2 2 1,2,-61.9889,303.95113015174866
float,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,-ingrid 1 2 2,-outgrid 2 2 1,4,-61.8102,305.12671422958374
p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,RUNTIME,elapsed_sec
float,128, , , , , , , ,8,-28.838,1.179239273071289
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1, , ,8,-34.0398,1.6490192413330078
float,1024,-reorder,-a2av, , ,-r2c_dir 2,-ingrid 1 1 2,-outgrid 2 1 1,2,-21.8876,101.57853412628174
float,1024, , , ,-pencils,-r2c_dir 0,-ingrid 2 1 1,-outgrid 2 1 1,2,-25.2239,190.19441628456116
double,256, , , ,-slabs,-r2c_dir 0,-ingrid 1 1 2,-outgrid 1 1 2,4,-19.5273,192.66804718971252
double,1024, , ,-p2p,-pencils,-r2c_dir 2, ,-outgrid 2 1 1,2,200.0,474.2644679546356
double,512,-reorder, , ,-pencils,-r2c_dir 2, ,-outgrid 2 1 1,2,-20.0299,488.18442821502686
float,128, , , , , , , ,2,-30.784,489.3240702152252
float,64,-reorder, , , ,-r2c_dir 0, , ,6,-37.3425,490.38501715660095
float,512,-reorder,-a2av, , ,-r2c_dir 0, , ,8,-30.286,499.6171431541443
double,1024, , , ,-pencils,-r2c_dir 2, , ,6,200.0,815.7830281257629
float,64,-no-reorder, , , ,-r2c_dir 1, , ,8,-26.1071,817.174033164978
float,64, , ,-p2p, ,-r2c_dir 0, , ,6,-38.0348,818.2633981704712
float,64, ,-a2av,-p2p, ,-r2c_dir 0,-ingrid 1 2 1, ,6,-40.0288,819.3801929950714
float,64, ,-a2av,-p2p_pl,-slabs,-r2c_dir 0, , ,6,-32.6591,820.4899232387543
float,64,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,-ingrid 1 2 1, ,8,-34.0005,821.6009390354156
float,64,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,-ingrid 2 1 1, ,6,-31.4279,822.7258102893829
float,64, , ,-p2p, , ,-ingrid 1 1 2, ,6,-38.1949,823.84295129776
float,64, ,-a2av,-p2p, ,-r2c_dir 0, ,-outgrid 1 1 2,6,-38.1454,824.9957032203674
float,64, ,-a2av,-p2p, ,-r2c_dir 1,-ingrid 1 1 2,-outgrid 2 1 1,6,-37.1075,826.1440629959106
