p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
2,40,24,100,60,80,2.19,784.0860817432404
1000,5,24,100,20,80,2.15,789.9109404087067
250,400,24,100,4,80,2.2,795.7973301410675
2,16,10,1000,15,80,2.18,801.688125371933
2,2,10,100,60,80,2.21,807.7095401287079
20,1,10,1,15,80,2.16,813.5045886039734
1000,1,80,1000,15,80,2.15,819.3468866348267
1000,5,400,1000,15,80,2.16,825.1829836368561
125,80,50,1000,15,80,2.17,831.0485680103302
1000,10,50,10,15,80,2.18,836.916984796524
20,10,50,100,15,80,2.17,842.9735426902771
1000,40,50,100,50,80,2.19,848.8645398616791
2,25,8,10,15,80,2.18,854.6956691741943
8,32,50,4,15,80,2.13,860.4757437705994
50,400,24,100,8,80,2.19,866.3934614658356
1000,1,12,5,3,20,2.54,872.6789083480835
8,20,50,500,15,80,2.17,878.7523481845856
8,80,50,50,15,80,2.17,884.649977684021
100,32,24,100,600,80,2.26,890.6164691448212
1000,4,50,100,15,80,2.17,896.5069577693939
25,1,100,1,15,80,2.18,902.4139714241028
1000,1,2,200,25,50,2.34,908.5065515041351
100,160,50,1000,15,80,2.19,914.3779044151306
5,16,50,10,15,80,2.22,920.2786989212036
2,5,20,100,80,80,2.16,926.1265788078308
200,5,24,250,2,80,2.21,932.0540301799774
40,10,50,50,15,80,2.15,937.9430844783783
40,1,40,1,15,80,2.15,943.9587500095367
1000,1,300,40,5,16,2.38,950.0773384571075
2,50,2,100,60,80,2.19,955.9785485267639
50,5,24,25,300,80,2.22,961.9103989601135
25,800,50,100,15,80,2.2,967.8052489757538
10,16,8,100,80,80,2.17,973.7121489048004
2,1,15,100,80,80,2.18,979.7784564495087
125,10,50,2,15,80,2.15,985.7071738243103
250,1,120,1,15,80,2.22,991.6738045215607
10,1,24,125,15,80,2.17,997.5913095474243
500,1,400,1,15,80,2.19,1003.4759385585785
1000,8,24,1000,15,80,2.23,1009.4007394313812
250,10,400,100,25,80,2.27,1015.6039912700653
1000,1,24,100,120,80,2.19,1021.4951972961426
1000,25,24,1000,24,80,2.28,1027.4716203212738
50,5,24,100,12,80,2.24,1033.48015832901
1000,10,24,10,60,80,2.18,1039.4228024482727
1000,10,48,50,15,80,2.19,1045.3236484527588
1,800,48,100,80,80,2.17,1051.37060880661
5,25,24,2,80,80,2.18,1057.2813031673431
10,5,50,5,15,80,2.18,1063.1932456493378
250,25,48,100,400,80,2.24,1069.1382327079773
1000,10,400,100,80,80,2.19,1075.06098818779
250,1,60,100,20,80,2.17,1080.979490995407
25,100,50,500,15,80,2.23,1087.1296684741974
8,20,400,1000,15,80,2.19,1093.0433838367462
500,5,24,40,60,80,2.19,1098.9386928081512
20,25,24,100,120,80,2.2,1104.8739852905273
40,4,24,40,60,80,2.16,1110.7723174095154
40,1,200,2,60,80,2.21,1116.7120280265808
8,8,24,200,60,80,2.16,1122.8466584682465
4,160,24,20,60,80,2.23,1128.8463089466095
20,25,8,250,60,80,2.23,1134.766804933548
20,2,24,20,60,80,2.16,1140.6903414726257
1,10,24,200,60,80,2.18,1146.632188796997
1,160,300,100,80,80,2.19,1152.5504291057587
1,10,16,1000,80,80,2.19,1158.6323990821838
500,25,24,8,60,80,2.24,1164.6505329608917
10,20,6,1,60,80,2.2,1170.5947315692902
1000,25,6,100,25,80,2.32,1176.6398417949677
10,16,5,100,80,80,2.17,1182.5212724208832
1000,1,200,200,12,32,2.6,1188.935650587082
