p0,p1,p2,p3,p4,RUNTIME,elapsed_sec
0.0279,0.00023497539162825997,0.9551525787223906,0.26,3.19,-0.675,90.46344709396362
0.19160000000000002,0.00022917204246570652,0.9108538773036612,0.40000000000000013,6.640000000000001,-0.655,96.16934490203857
0.0126,0.00012336448492849012,0.9567856909061173,-0.6,8.08,-0.934,96.58521294593811
0.5,0.0001,1.0,0.0,1.0,-0.926,102.40293288230896
p0,p1,p2,p3,p4,RUNTIME,elapsed_sec
0.0126,0.00012336448492849012,0.9567856909061173,-0.6,8.08,-0.931,89.3449501991272
0.0279,0.00023497539162825997,0.9551525787223906,0.26,3.19,-0.666,96.0258731842041
0.19160000000000002,0.00022917204246570652,0.9108538773036612,0.40000000000000013,6.640000000000001,-0.648,96.06498217582703
0.5,0.0001,1.0,0.0,1.0,-0.916,101.11214423179626
